Samp1	Treatment_1	Generation_1	Rep_1	Samp2	Treatment_2	Generation_2	Rep_2	fst	trt_gen1	trt_gen2	group	group_gen	Generation_mod
HH_F04_Rep2	OWA	F04	Rep2	AA_F04_Rep2	AA	F04	Rep2	0.0514236369231275	HH_F04	AA_F04	AA_vs_HH	AA_vs_HH_F04	F02
HH_F04_Rep3	OWA	F04	Rep3	AA_F04_Rep2	AA	F04	Rep2	0.0816309024381498	HH_F04	AA_F04	AA_vs_HH	AA_vs_HH_F04	F02
AH_F04_Rep1	OA	F04	Rep1	AA_F04_Rep3	AA	F04	Rep3	0.0377234082642738	AH_F04	AA_F04	AA_vs_AH	AA_vs_AH_F04	F04
AH_F04_Rep2	OA	F04	Rep2	AA_F04_Rep3	AA	F04	Rep3	0.0346921013417133	AH_F04	AA_F04	AA_vs_AH	AA_vs_AH_F04	F04
AH_F04_Rep3	OA	F04	Rep3	AA_F04_Rep3	AA	F04	Rep3	0.037084221116206	AH_F04	AA_F04	AA_vs_AH	AA_vs_AH_F04	F04
HA_F04_Rep1	OW	F04	Rep1	AA_F04_Rep3	AA	F04	Rep3	0.0346908716681394	HA_F04	AA_F04	AA_vs_HA	AA_vs_HA_F04	F04
HA_F04_Rep2	OW	F04	Rep2	AA_F04_Rep3	AA	F04	Rep3	0.0331886031619637	HA_F04	AA_F04	AA_vs_HA	AA_vs_HA_F04	F04
HA_F04_Rep3	OW	F04	Rep3	AA_F04_Rep3	AA	F04	Rep3	0.0261367279153365	HA_F04	AA_F04	AA_vs_HA	AA_vs_HA_F04	F04
HH_F04_Rep1	OWA	F04	Rep1	AA_F04_Rep3	AA	F04	Rep3	0.0299473758497366	HH_F04	AA_F04	AA_vs_HH	AA_vs_HH_F04	F02
HH_F04_Rep2	OWA	F04	Rep2	AA_F04_Rep3	AA	F04	Rep3	0.0293804574651554	HH_F04	AA_F04	AA_vs_HH	AA_vs_HH_F04	F02
HH_F04_Rep3	OWA	F04	Rep3	AA_F04_Rep3	AA	F04	Rep3	0.0557343211517423	HH_F04	AA_F04	AA_vs_HH	AA_vs_HH_F04	F02
HH_F11_Rep1	OWA	F11	Rep1	AA_F11_Rep1	AA	F11	Rep1	0.0699463861567099	HH_F11	AA_F11	AA_vs_HH	AA_vs_HH_F11	F04
HH_F11_Rep2	OWA	F11	Rep2	AA_F11_Rep1	AA	F11	Rep1	0.0748583187267264	HH_F11	AA_F11	AA_vs_HH	AA_vs_HH_F11	F04
HH_F11_Rep3	OWA	F11	Rep3	AA_F11_Rep1	AA	F11	Rep1	0.0622771401184147	HH_F11	AA_F11	AA_vs_HH	AA_vs_HH_F11	F04
HH_F11_Rep1	OWA	F11	Rep1	AA_F11_Rep2	AA	F11	Rep2	0.0402905552716986	HH_F11	AA_F11	AA_vs_HH	AA_vs_HH_F11	F04
HH_F11_Rep2	OWA	F11	Rep2	AA_F11_Rep2	AA	F11	Rep2	0.0504322455825695	HH_F11	AA_F11	AA_vs_HH	AA_vs_HH_F11	F04
HH_F11_Rep3	OWA	F11	Rep3	AA_F11_Rep2	AA	F11	Rep2	0.0357649889748669	HH_F11	AA_F11	AA_vs_HH	AA_vs_HH_F11	F04
HH_F11_Rep1	OWA	F11	Rep1	AA_F11_Rep3	AA	F11	Rep3	0.0737048475333211	HH_F11	AA_F11	AA_vs_HH	AA_vs_HH_F11	F04
HH_F11_Rep2	OWA	F11	Rep2	AA_F11_Rep3	AA	F11	Rep3	0.0800400105840637	HH_F11	AA_F11	AA_vs_HH	AA_vs_HH_F11	F04
HH_F11_Rep3	OWA	F11	Rep3	AA_F11_Rep3	AA	F11	Rep3	0.0679343657208756	HH_F11	AA_F11	AA_vs_HH	AA_vs_HH_F11	F04
