Treatment	Food	Rep	surv	epr	hf	dev.time	lambda
5	600	1	0.84	29	1	18	1.21947197096813
5	600	1	0.84	27.66666667	0.915662651	18	1.21206356522201
5	600	1	0.84	20.66666667	0.032258065	18	1.03412679209492
5	600	1	0.84	0	0	18	0
5	600	1	0.84	24	0.986111111	18	1.20835703454391
5	600	1	0.84	30	0.966666667	18	1.21947197098711
5	600	1	0.84	23	0.927536232	18	1.20273351094331
5	600	1	0.84	42	0.015873016	18	1.03412679178198
5	600	1	0.84	20.33333333	0	18	0
5	600	1	0.84	12.33333333	0	18	0
5	600	1	0.84	27.66666667	0	18	0
5	600	2	0.56	24.66666667	0.947368421	16	1.12146662992435
5	600	2	0.56	29	1	16	1.13422284238739
5	600	2	0.56	27.66666667	0.915662651	16	1.12621726265111
5	600	2	0.56	20.66666667	0.032258065	16	0.933275831362013
5	600	2	0.56	0	0	16	0
5	600	2	0.56	24	0.986111111	16	1.12221134378897
5	600	2	0.56	30	0.966666667	16	1.1342228424079
5	600	2	0.56	23	0.927536232	16	1.11613277397238
5	600	2	0.56	42	0.015873016	16	0.933275831021437
5	600	2	0.56	20.33333333	0	16	0
5	600	2	0.56	12.33333333	0	16	0
5	600	2	0.56	27.66666667	0	16	0
5	600	3	0.8	24.66666667	0.947368421	17	1.18554461489341
5	600	3	0.8	29	1	17	1.19864080576582
5	600	3	0.8	27.66666667	0.915662651	17	1.19042320456564
5	600	3	0.8	20.66666667	0.032258065	17	0.990965450626061
5	600	3	0.8	0	0	17	0
5	600	3	0.8	24	0.986111111	17	1.18630949301314
5	600	3	0.8	30	0.966666667	17	1.19864080578686
5	600	3	0.8	23	0.927536232	17	1.18006518692225
5	600	3	0.8	42	0.015873016	17	0.990965450271555
5	600	3	0.8	20.33333333	0	17	0
5	600	3	0.8	12.33333333	0	17	0
5	600	3	0.8	27.66666667	0	17	0
6	250	1	0.88	9.666666667	0.931034483	17	1.1263922345994
6	250	1	0.88	11.33333333	0.911764706	17	1.13446403083433
6	250	1	0.88	2	1	17	1.04236240057647
6	250	1	0.88	4.666666667	0.928571429	17	1.08469291056742
6	250	1	0.88	0.333333333	1	17	0.950878202889903
6	250	1	0.88	0	0	17	0
6	250	1	0.88	16.66666667	0.98	17	1.16165690734698
6	250	1	0.88	24	0.708333333	17	1.16406573025671
6	250	1	0.88	27	1	17	1.192310576033
6	250	1	0.88	0	0.96875	17	0
6	250	1	0.88	4.666666667	0.642857143	17	1.06433707361904
6	250	1	0.88	2.666666667	1	17	1.05790332150543
6	250	2	0.88	9.666666667	0.931034483	17	1.13354680069418
6	250	2	0.88	11.33333333	0.911764706	17	1.14167942905665
6	250	2	0.88	2	1	17	1.04888574554339
6	250	2	0.88	4.666666667	0.928571429	17	1.09153373097087
6	250	2	0.88	0.333333333	1	17	0.956719942342865
6	250	2	0.88	0	0	17	0
6	250	2	0.88	16.66666667	0.98	17	1.16907745232213
6	250	2	0.88	24	0.708333333	17	1.17150446245391
6	250	2	0.88	27	1	17	1.19996272611898
6	250	2	0.88	0	0.96875	17	0
6	250	2	0.88	4.666666667	0.642857143	17	1.07102508669403
6	250	2	0.88	2.666666667	1	17	1.06454309044564
6	250	3	0.72	9.666666667	0.931034483	18	1.13984775896788
6	250	3	0.72	11.33333333	0.911764706	18	1.14660244615472
6	250	3	0.72	2	1	18	1.07037720016486
6	250	3	0.72	4.666666667	0.928571429	18	1.10517570139317
6	250	3	0.72	0.333333333	1	18	0.996573645561271
6	250	3	0.72	0	0	18	0
6	250	3	0.72	16.66666667	0.98	18	1.16945638686949
6	250	3	0.72	24	0.708333333	18	1.17148796350711
6	250	3	0.72	27	1	18	1.19539181082076
6	250	3	0.72	0	0.96875	18	0
6	250	3	0.72	4.666666667	0.642857143	18	1.08839068942379
6	250	3	0.72	2.666666667	1	18	1.08310518987534
6	600	1	0.72	7.333333333	1	17	1.05081877627051
6	600	1	0.72	5.666666667	1	17	1.03623702688058
6	600	1	0.72	15.33333333	0.956521739	17	1.09105988369836
6	600	1	0.72	12	0.888888889	17	1.07238145114755
6	600	1	0.72	0.666666667	1	17	0.922849239268854
6	600	1	0.72	0.666666667	1	17	0.922849239268854
6	600	1	0.72	0.333333333	1	17	0.888887384013689
6	600	1	0.72	0.333333333	1	17	0.888887384013689
6	600	1	0.72	10.33333333	0.903225806	17	1.06464609789236
6	600	1	0.72	22.66666667	1	17	1.11712746738392
6	600	1	0.72	17	0.941176471	17	1.09622052033001
6	600	1	0.72	24.66666667	0.972972973	17	1.12059676921797
6	600	2	0.6	7.333333333	1	17	1.10888312081441
6	600	2	0.6	5.666666667	1	17	1.09564555302996
6	600	2	0.6	15.33333333	0.956521739	17	1.14563966381932
6	600	2	0.6	12	0.888888889	17	1.12853800592144
6	600	2	0.6	0.666666667	1	17	0.994216940736601
6	600	2	0.6	0.666666667	1	17	0.994216940736601
6	600	2	0.6	0.333333333	1	17	0.964340390983447
6	600	2	0.6	0.333333333	1	17	0.964340390983447
6	600	2	0.6	10.33333333	0.903225806	17	1.12147616592624
6	600	2	0.6	22.66666667	1	17	1.16962145564999
6	600	2	0.6	17	0.941176471	17	1.15037686581066
6	600	2	0.6	24.66666667	0.972972973	17	1.17282302882225
6	600	3	0.72	7.333333333	1	16	1.12598467276262
6	600	3	0.72	5.666666667	1	16	1.11184932883576
6	600	3	0.72	15.33333333	0.956521739	16	1.1652272974118
6	600	3	0.72	12	0.888888889	16	1.14696990449105
6	600	3	0.72	0.666666667	1	16	1.00346591594417
6	600	3	0.72	0.666666667	1	16	1.00346591594417
6	600	3	0.72	0.333333333	1	16	0.971511611352962
6	600	3	0.72	0.333333333	1	16	0.971511611352962
6	600	3	0.72	10.33333333	0.903225806	16	1.13943039111661
6	600	3	0.72	22.66666667	1	16	1.19082856888578
6	600	3	0.72	17	0.941176471	16	1.17028445856097
6	600	3	0.72	24.66666667	0.972972973	16	1.19424634188979
