Generation	Treatment	Rep	Stage.x	Number.x	Length.x	Weight.x	Stage.y	Number.y	Length.y	Weight.y	weight.diff	Beak	Dev.diff	Growth.Rate
0	1	1	C6F	2	0.725	3.852404241	C1	8	0.33	0.385622036	3.466782204	2	9.5	0.364924443
0	1	1	C6F	2	0.725	3.852404241	C1	8	0.33	0.385622036	3.466782204	3	10.49671053	0.330273203
0	1	1	C6F	2	0.725	3.852404241	C1	9	0.329	0.381911579	3.470492662	1	9.920168067	0.349842123
0	1	1	C6F	2	0.725	3.852404241	C1	9	0.329	0.381911579	3.470492662	2	9.5	0.365315017
0	1	1	C6F	2	0.725	3.852404241	C1	9	0.329	0.381911579	3.470492662	3	10.49671053	0.33062669
0	1	1	C6F	3	0.858	7.097218649	C1	1	0.325	0.367314562	6.729904087	1	9.920168067	0.678406257
0	1	1	C6F	3	0.858	7.097218649	C1	1	0.325	0.367314562	6.729904087	2	9.5	0.708410957
0	1	1	C6F	3	0.858	7.097218649	C1	1	0.325	0.367314562	6.729904087	3	10.49671053	0.641144106
0	1	1	C6F	3	0.858	7.097218649	C1	10	0.272	0.208319416	6.888899233	1	9.920168067	0.694433722
0	1	1	C6F	3	0.858	7.097218649	C1	10	0.272	0.208319416	6.888899233	2	9.5	0.725147288
0	1	1	C6F	3	0.858	7.097218649	C1	10	0.272	0.208319416	6.888899233	3	10.49671053	0.656291246
0	1	1	C6F	3	0.858	7.097218649	C1	11	0.329	0.381911579	6.71530707	1	9.920168067	0.676934808
0	1	1	C6F	3	0.858	7.097218649	C1	11	0.329	0.381911579	6.71530707	2	9.5	0.706874428
0	1	1	C6F	3	0.858	7.097218649	C1	11	0.329	0.381911579	6.71530707	3	10.49671053	0.639753478
0	1	1	C6F	3	0.858	7.097218649	C1	2	0.352	0.473648048	6.623570601	1	9.920168067	0.667687337
0	1	1	C6F	3	0.858	7.097218649	C1	2	0.352	0.473648048	6.623570601	2	9.5	0.697217958
0	1	1	C6F	3	0.858	7.097218649	C1	2	0.352	0.473648048	6.623570601	3	10.49671053	0.631013934
0	1	1	C6F	3	0.858	7.097218649	C1	3	0.381	0.609524156	6.487694493	1	9.920168067	0.653990381
0	1	1	C6F	3	0.858	7.097218649	C1	3	0.381	0.609524156	6.487694493	2	9.5	0.68291521
